"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2023","86.61","86.51","86.95","85.10","207.62K","0.25%"
"02/10/2023","86.39","84.22","86.90","83.93","297.34K","2.24%"
"02/09/2023","84.50","84.96","85.50","83.05","260.73K","-0.69%"
"02/08/2023","85.09","84.11","85.15","83.51","254.14K","1.67%"
"02/07/2023","83.69","81.26","84.13","81.19","290.98K","3.33%"
"02/06/2023","80.99","79.61","81.43","79.10","325.21K","1.31%"
"02/03/2023","79.94","82.27","84.20","79.62","330.32K","-2.71%"
"02/02/2023","82.17","83.34","83.61","81.25","287.09K","-0.81%"
"02/01/2023","82.84","85.56","86.21","82.37","348.66K","-1.95%"
"01/31/2023","84.49","85.18","85.25","83.73","11.89K","-0.48%"
"01/30/2023","84.90","86.88","87.48","84.66","65.55K","-2.03%"
"01/27/2023","86.66","87.65","88.95","85.69","107.08K","-0.93%"
"01/26/2023","87.47","86.35","88.01","85.74","139.10K","1.57%"
"01/25/2023","86.12","86.28","87.00","85.41","159.47K","-0.01%"
"01/24/2023","86.13","88.07","88.71","85.80","207.75K","-2.34%"
"01/23/2023","88.19","87.70","89.09","86.92","192.41K","0.64%"
"01/20/2023","87.63","86.42","87.79","85.58","212.92K","1.71%"
"01/19/2023","86.16","84.34","86.85","83.76","250.96K","1.39%"
"01/18/2023","84.98","86.45","87.85","84.36","288.15K","-1.09%"
"01/17/2023","85.92","84.20","86.82","84.04","238.30K","1.73%"
"01/16/2023","84.46","85.36","85.59","83.83","125.96K","-0.96%"
"01/13/2023","85.28","83.91","85.50","83.50","217.40K","1.49%"
"01/12/2023","84.03","82.88","84.62","82.37","264.07K","1.65%"
"01/11/2023","82.67","79.52","83.00","79.31","273.79K","3.21%"
"01/10/2023","80.10","79.54","80.89","78.81","244.35K","0.56%"
"01/09/2023","79.65","78.42","81.37","78.42","245.12K","1.37%"
"01/06/2023","78.57","78.80","80.59","78.05","215.42K","-0.15%"
"01/05/2023","78.69","78.16","79.97","77.61","259.58K","1.09%"
"01/04/2023","77.84","82.31","82.72","77.72","319.31K","-5.19%"
"01/03/2023","82.10","85.96","87.00","81.78","302.86K","-4.43%"
