"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2023","173.00","173.00","173.00","173.00","0.00K","-0.57%"
"03/16/2023","174.00","174.00","174.00","174.00","0.01K","-0.57%"
"03/15/2023","175.00","175.00","178.50","175.00","0.01K","-2.78%"
"03/14/2023","180.00","180.00","180.00","180.00","0.01K","-1.59%"
"03/13/2023","182.90","182.90","182.90","182.90","0.01K","-1.27%"
"03/10/2023","185.25","185.25","185.25","185.25","","2.92%"
"03/09/2023","180.00","180.00","180.00","180.00","","0.28%"
"03/08/2023","179.50","182.00","182.00","182.00","0.00K","0.14%"
"03/07/2023","179.25","181.00","181.00","180.00","0.00K","-1.38%"
"03/06/2023","181.75","182.00","182.00","182.00","0.00K","-3.79%"
"03/03/2023","188.90","187.15","187.15","187.15","0.00K","-2.12%"
"03/02/2023","193.00","193.00","193.00","193.00","0.04K","-0.26%"
"03/01/2023","193.50","192.00","192.00","192.00","0.08K","0.34%"
"02/28/2023","192.85","192.85","192.85","192.85","0.07K","-1.86%"
"02/27/2023","196.50","195.00","197.00","195.00","0.07K","-6.07%"
"02/24/2023","209.20","204.50","204.50","204.50","","-0.43%"
"02/23/2023","210.10","210.10","210.10","210.10","","0.21%"
"02/22/2023","209.65","209.65","209.65","209.65","0.00K","0.55%"
"02/21/2023","208.50","209.00","209.00","209.00","0.03K","1.39%"
"02/20/2023","205.65","205.65","205.65","205.65","","-1.77%"
"02/17/2023","209.35","209.35","209.35","209.35","","-2.17%"
"02/16/2023","214.00","214.00","214.00","214.00","0.03K","-2.68%"
"02/15/2023","219.90","219.90","219.90","219.90","0.01K","0.18%"
"02/14/2023","219.50","219.50","219.50","219.50","0.01K","-0.68%"
"02/13/2023","221.00","221.00","221.00","221.00","","-2.26%"
"02/10/2023","226.10","219.00","219.00","218.00","0.03K","0.27%"
"02/09/2023","225.50","238.00","238.00","225.00","0.03K","-5.79%"
"02/08/2023","239.35","239.35","239.35","239.35","","-6.38%"
"02/07/2023","255.65","257.00","265.00","254.00","0.04K","1.45%"
"02/06/2023","252.00","235.00","235.00","235.00","0.01K","6.78%"
"02/03/2023","236.00","236.00","236.00","236.00","0.01K","-3.54%"
"02/02/2023","244.65","245.00","245.00","245.00","0.01K","-0.95%"
"02/01/2023","247.00","247.00","247.00","247.00","0.03K","-1.89%"
"01/31/2023","251.75","262.00","262.00","262.00","0.03K","-5.13%"
"01/30/2023","265.35","266.00","266.00","262.00","0.01K","-25.90%"
"01/27/2023","358.10","265.00","265.00","265.00","","0.70%"
"01/26/2023","355.60","355.60","355.60","355.60","","0.45%"
"01/25/2023","354.00","354.00","354.00","354.00","0.01K","-1.56%"
"01/24/2023","359.60","359.60","359.60","359.60","0.02K","-0.11%"
"01/23/2023","360.00","360.00","360.00","360.00","0.00K","2.58%"
"01/20/2023","350.95","350.95","350.95","350.95","","-3.45%"
"01/19/2023","363.50","363.50","363.50","363.50","0.00K","-1.22%"
"01/18/2023","368.00","368.00","368.00","368.00","","-0.34%"
"01/17/2023","369.25","369.25","369.25","369.25","0.00K","0.14%"
"01/16/2023","368.75","370.00","370.00","370.00","0.06K","-0.41%"
"01/13/2023","370.25","370.25","370.25","370.25","0.03K","-1.92%"
"01/12/2023","377.50","377.00","377.00","377.00","0.16K","2.03%"
"01/11/2023","370.00","385.00","385.00","380.00","0.12K","-5.24%"
"01/10/2023","390.45","395.00","395.00","393.00","0.05K","-0.86%"
"01/09/2023","393.85","397.00","397.00","395.00","0.13K","-0.58%"
"01/06/2023","396.15","400.00","400.00","400.00","0.03K","-0.34%"
"01/05/2023","397.50","395.00","399.00","395.00","0.09K","0.75%"
"01/04/2023","394.55","390.00","395.00","390.00","0.03K","0.37%"
"01/03/2023","393.10","396.00","396.00","392.00","0.14K","-2.73%"
